Market Name,Variety,Day,Month,Year,Modal Price (Rs./Quintal)
Bangalore,Alasande Gram,21,6,2022,7500
Bangalore,Alasande Gram,20,6,2022,7500
Bangalore,Alasande Gram,18,6,2022,7500
Bangalore,Alasande Gram,17,6,2022,7500
Bangalore,Alasande Gram,16,6,2022,6400
Bangalore,Alasande Gram,15,6,2022,6400
Bangalore,Alasande Gram,14,6,2022,6400
Bangalore,Alasande Gram,13,6,2022,6400
Bangalore,Alasande Gram,10,6,2022,6400
Bangalore,Alasande Gram,9,6,2022,6400
Bangalore,Alasande Gram,8,6,2022,6400
Bangalore,Alasande Gram,7,6,2022,6400
Bangalore,Alasande Gram,6,6,2022,6400
Bangalore,Alasande Gram,3,6,2022,6400
Bangalore,Alasande Gram,2,6,2022,6400
Bangalore,Alasande Gram,31,5,2022,6400
Bangalore,Alasande Gram,30,5,2022,6400
Bangalore,Alasande Gram,27,5,2022,6700
Bangalore,Alasande Gram,26,5,2022,6700
Bangalore,Alasande Gram,25,5,2022,6700
Bangalore,Alasande Gram,24,5,2022,6700
Bangalore,Alasande Gram,23,5,2022,6700
Bangalore,Alasande Gram,21,5,2022,6700
Bangalore,Alasande Gram,20,5,2022,6700
Bangalore,Alasande Gram,19,5,2022,6700
Bangalore,Alasande Gram,18,5,2022,6700
Bangalore,Alasande Gram,17,5,2022,6700
Bangalore,Alasande Gram,16,5,2022,6850
Bangalore,Alasande Gram,13,5,2022,6850
Bangalore,Alasande Gram,12,5,2022,6850
Bangalore,Alasande Gram,11,5,2022,6250
Bangalore,Alasande Gram,10,5,2022,6250
Bangalore,Alasande Gram,9,5,2022,6250
Bangalore,Alasande Gram,7,5,2022,6500
Bangalore,Alasande Gram,6,5,2022,6500
Bangalore,Alasande Gram,5,5,2022,6500
Bangalore,Alasande Gram,4,5,2022,6400
Bangalore,Alasande Gram,29,4,2022,6400
Bangalore,Alasande Gram,28,4,2022,6400
Bangalore,Alasande Gram,27,4,2022,6500
Bangalore,Alasande Gram,26,4,2022,6700
Bangalore,Alasande Gram,25,4,2022,6700
Bangalore,Alasande Gram,21,4,2022,6700
Bangalore,Alasande Gram,20,4,2022,6700
Bangalore,Alasande Gram,19,4,2022,6700
Bangalore,Alasande Gram,18,4,2022,6700
Bangalore,Alasande Gram,16,4,2022,6700
Bangalore,Alasande Gram,13,4,2022,6700
Bangalore,Alasande Gram,12,4,2022,6700
Bangalore,Alasande Gram,11,4,2022,6700
Bangalore,Alasande Gram,8,4,2022,6700
Bangalore,Alasande Gram,7,4,2022,6700
Bangalore,Alasande Gram,6,4,2022,6700
Bangalore,Alasande Gram,5,4,2022,6850
Bangalore,Alasande Gram,4,4,2022,6850
Bangalore,Alasande Gram,31,3,2022,6850
Bangalore,Alasande Gram,30,3,2022,6850
Bangalore,Alasande Gram,29,3,2022,6850
Bangalore,Alasande Gram,28,3,2022,6750
Bangalore,Alasande Gram,25,3,2022,6750
Bangalore,Alasande Gram,24,3,2022,7150
Bangalore,Alasande Gram,23,3,2022,7150
Bangalore,Alasande Gram,21,3,2022,7200
Bangalore,Alasande Gram,18,3,2022,7200
Bangalore,Alasande Gram,17,3,2022,7200
Bangalore,Alasande Gram,16,3,2022,7200
Bangalore,Alasande Gram,15,3,2022,7200
Bangalore,Alasande Gram,14,3,2022,7200
Bangalore,Alasande Gram,11,3,2022,6950
Bangalore,Alasande Gram,10,3,2022,6950
Bangalore,Alasande Gram,9,3,2022,6950
Bangalore,Alasande Gram,8,3,2022,6950
Bangalore,Alasande Gram,7,3,2022,6950
Bangalore,Alasande Gram,5,3,2022,6950
Bangalore,Alasande Gram,4,3,2022,6950
Bangalore,Alasande Gram,3,3,2022,6950
Bangalore,Alasande Gram,2,3,2022,6950
Bangalore,Alasande Gram,28,2,2022,6950
Bangalore,Alasande Gram,25,2,2022,6950
Bangalore,Alasande Gram,24,2,2022,6950
Bangalore,Alasande Gram,22,2,2022,7100
Bangalore,Alasande Gram,21,2,2022,7400
Bangalore,Alasande Gram,19,2,2022,7400
Bangalore,Alasande Gram,18,2,2022,7400
Bangalore,Alasande Gram,17,2,2022,7400
Bangalore,Alasande Gram,16,2,2022,7400
Bangalore,Alasande Gram,15,2,2022,7400
Bangalore,Alasande Gram,14,2,2022,7400
Bangalore,Alasande Gram,11,2,2022,7000
Bangalore,Alasande Gram,10,2,2022,7000
Bangalore,Alasande Gram,9,2,2022,7200
Bangalore,Alasande Gram,8,2,2022,7200
Bangalore,Alasande Gram,7,2,2022,7100
Bangalore,Alasande Gram,5,2,2022,7100
Bangalore,Alasande Gram,4,2,2022,7100
Bangalore,Alasande Gram,3,2,2022,7100
Bangalore,Alasande Gram,2,2,2022,7100
Bangalore,Alasande Gram,1,2,2022,7100
Bangalore,Alasande Gram,31,1,2022,7100
Bangalore,Alasande Gram,29,1,2022,7100
Bangalore,Alasande Gram,28,1,2022,7100
Bangalore,Alasande Gram,27,1,2022,7100
Bangalore,Alasande Gram,25,1,2022,7150
Bangalore,Alasande Gram,24,1,2022,7150
Bangalore,Alasande Gram,21,1,2022,7150
Bangalore,Alasande Gram,20,1,2022,7150
Bangalore,Alasande Gram,19,1,2022,7150
Bangalore,Alasande Gram,18,1,2022,7150
Bangalore,Alasande Gram,17,1,2022,7150
Bangalore,Alasande Gram,14,1,2022,7750
Bangalore,Alasande Gram,13,1,2022,7750
Bangalore,Alasande Gram,12,1,2022,8000
Bangalore,Alasande Gram,11,1,2022,8000
Bangalore,Alasande Gram,10,1,2022,8000
Bangalore,Alasande Gram,7,1,2022,8000
Bangalore,Alasande Gram,6,1,2022,8000
Bangalore,Alasande Gram,5,1,2022,8000
Bangalore,Alasande Gram,4,1,2022,8000
Bangalore,Alasande Gram,3,1,2022,8000
Bangalore,Alasande Gram,1,1,2022,8000
Bangalore,Alasande Gram,31,12,2021,8500
Bangalore,Alasande Gram,30,12,2021,8500
Bangalore,Alasande Gram,29,12,2021,8500
Bangalore,Alasande Gram,27,12,2021,8500
Bangalore,Alasande Gram,24,12,2021,8500
Bangalore,Alasande Gram,23,12,2021,8500
Bangalore,Alasande Gram,22,12,2021,9000
Bangalore,Alasande Gram,21,12,2021,9000
Bangalore,Alasande Gram,20,12,2021,9000
Bangalore,Alasande Gram,18,12,2021,9000
Bangalore,Alasande Gram,17,12,2021,9000
Bangalore,Alasande Gram,16,12,2021,9000
Bangalore,Alasande Gram,15,12,2021,9000
Bangalore,Alasande Gram,13,12,2021,9000
Bangalore,Alasande Gram,10,12,2021,9000
Bangalore,Alasande Gram,9,12,2021,8500
Bangalore,Alasande Gram,8,12,2021,8500
Bangalore,Alasande Gram,7,12,2021,8500
Bangalore,Alasande Gram,6,12,2021,8500
Bangalore,Alasande Gram,4,12,2021,8500
Bangalore,Alasande Gram,3,12,2021,8500
Bangalore,Alasande Gram,2,12,2021,8500
Bangalore,Alasande Gram,1,12,2021,8500
Bangalore,Alasande Gram,30,11,2021,8500
Bangalore,Alasande Gram,29,11,2021,8500
Bangalore,Alasande Gram,26,11,2021,8500
Bangalore,Alasande Gram,25,11,2021,8500
Bangalore,Alasande Gram,24,11,2021,8500
Bangalore,Alasande Gram,23,11,2021,8500
Bangalore,Alasande Gram,20,11,2021,8500
Bangalore,Alasande Gram,19,11,2021,8500
Bangalore,Alasande Gram,18,11,2021,8500
Bangalore,Alasande Gram,17,11,2021,8500
Bangalore,Alasande Gram,16,11,2021,7750
Bangalore,Alasande Gram,15,11,2021,7750
Bangalore,Alasande Gram,12,11,2021,7750
Bangalore,Alasande Gram,11,11,2021,7750
Bangalore,Alasande Gram,10,11,2021,7750
Bangalore,Alasande Gram,9,11,2021,7750
Bangalore,Alasande Gram,6,11,2021,7750
Bangalore,Alasande Gram,4,11,2021,7750
Bangalore,Alasande Gram,2,11,2021,7750
Bangalore,Alasande Gram,30,10,2021,7750
Bangalore,Alasande Gram,29,10,2021,7750
Bangalore,Alasande Gram,28,10,2021,7500
Bangalore,Alasande Gram,27,10,2021,7500
Bangalore,Alasande Gram,26,10,2021,7500
Bangalore,Alasande Gram,25,10,2021,7500
Bangalore,Alasande Gram,22,10,2021,7500
Bangalore,Alasande Gram,21,10,2021,7500
Bangalore,Alasande Gram,18,10,2021,7100
Bangalore,Alasande Gram,16,10,2021,7100
Bangalore,Alasande Gram,13,10,2021,7100
Bangalore,Alasande Gram,11,10,2021,7100
Bangalore,Alasande Gram,8,10,2021,7100
Bangalore,Alasande Gram,7,10,2021,7100
Bangalore,Alasande Gram,4,10,2021,6850
Bangalore,Alasande Gram,1,10,2021,6850
Bangalore,Alasande Gram,30,9,2021,6850
Bangalore,Alasande Gram,28,9,2021,6850
Bangalore,Alasande Gram,27,9,2021,6850
Bangalore,Alasande Gram,24,9,2021,6850
Bangalore,Alasande Gram,23,9,2021,6850
Bangalore,Alasande Gram,22,9,2021,6850
Bangalore,Alasande Gram,21,9,2021,6850
Bangalore,Alasande Gram,20,9,2021,6750
Bangalore,Alasande Gram,18,9,2021,6750
Bangalore,Alasande Gram,17,9,2021,6450
Bangalore,Alasande Gram,16,9,2021,6450
Bangalore,Alasande Gram,15,9,2021,6450
Bangalore,Alasande Gram,14,9,2021,7100
Bangalore,Alasande Gram,13,9,2021,7100
Bangalore,Alasande Gram,9,9,2021,6500
Bangalore,Alasande Gram,8,9,2021,6500
Bangalore,Alasande Gram,7,9,2021,6500
Bangalore,Alasande Gram,6,9,2021,6500
Bangalore,Alasande Gram,4,9,2021,6450
Bangalore,Alasande Gram,3,9,2021,6450
Bangalore,Alasande Gram,2,9,2021,6450
Bangalore,Alasande Gram,1,9,2021,6450
Bangalore,Alasande Gram,31,8,2021,6700
Bangalore,Alasande Gram,30,8,2021,6700
Bangalore,Alasande Gram,27,8,2021,6600
Bangalore,Alasande Gram,26,8,2021,6600
Bangalore,Alasande Gram,25,8,2021,6600
Bangalore,Alasande Gram,24,8,2021,6600
Bangalore,Alasande Gram,23,8,2021,8200
Bangalore,Alasande Gram,21,8,2021,6750
Bangalore,Alasande Gram,19,8,2021,6750
Bangalore,Alasande Gram,18,8,2021,6750
Bangalore,Alasande Gram,17,8,2021,6750
Bangalore,Alasande Gram,16,8,2021,6750
Bangalore,Alasande Gram,13,8,2021,6200
Bangalore,Alasande Gram,12,8,2021,6200
Bangalore,Alasande Gram,11,8,2021,6200
Bangalore,Alasande Gram,10,8,2021,6200
Bangalore,Alasande Gram,9,8,2021,6200
Bangalore,Alasande Gram,7,8,2021,6500
Bangalore,Alasande Gram,4,8,2021,6750
Bangalore,Alasande Gram,3,8,2021,6750
Bangalore,Alasande Gram,2,8,2021,6600
Bangalore,Alasande Gram,31,7,2021,6600
Bangalore,Alasande Gram,30,7,2021,6200
Bangalore,Alasande Gram,29,7,2021,6600
Bangalore,Alasande Gram,28,7,2021,6200
Bangalore,Alasande Gram,27,7,2021,6150
Bangalore,Alasande Gram,26,7,2021,6150
Bangalore,Alasande Gram,23,7,2021,6200
Bangalore,Alasande Gram,22,7,2021,6200
Bangalore,Alasande Gram,20,7,2021,6500
Bangalore,Alasande Gram,19,7,2021,6200
Bangalore,Alasande Gram,17,7,2021,6125
Bangalore,Alasande Gram,16,7,2021,6125
Bangalore,Alasande Gram,15,7,2021,6125
Bangalore,Alasande Gram,14,7,2021,6125
Bangalore,Alasande Gram,13,7,2021,6200
Bangalore,Alasande Gram,12,7,2021,6175
Bangalore,Alasande Gram,9,7,2021,6175
Bangalore,Alasande Gram,8,7,2021,6175
Bangalore,Alasande Gram,7,7,2021,6200
Bangalore,Alasande Gram,6,7,2021,6200
Bangalore,Alasande Gram,5,7,2021,6200
Bangalore,Alasande Gram,3,7,2021,6250
Bangalore,Alasande Gram,2,7,2021,6250
Bangalore,Alasande Gram,28,6,2021,6300
Bangalore,Alasande Gram,25,6,2021,6300
Bangalore,Alasande Gram,24,6,2021,6300
Bangalore,Alasande Gram,23,6,2021,6300
Bangalore,Alasande Gram,22,6,2021,6300
Bangalore,Alasande Gram,21,6,2021,6300
Bangalore,Alasande Gram,19,6,2021,6300
Bangalore,Alasande Gram,18,6,2021,6300
Bangalore,Alasande Gram,17,6,2021,6300
Bangalore,Alasande Gram,16,6,2021,6300
Bangalore,Alasande Gram,15,6,2021,6300
Bangalore,Alasande Gram,14,6,2021,6300
Bangalore,Alasande Gram,11,6,2021,7000
Bangalore,Alasande Gram,10,6,2021,7000
Bangalore,Alasande Gram,9,6,2021,7000
Bangalore,Alasande Gram,7,6,2021,7000
Bangalore,Alasande Gram,5,6,2021,7000
Bangalore,Alasande Gram,4,6,2021,7000
Bangalore,Alasande Gram,3,6,2021,6300
Bangalore,Alasande Gram,1,6,2021,6300
Bangalore,Alasande Gram,31,5,2021,6300
Bangalore,Alasande Gram,29,5,2021,6300
Bangalore,Alasande Gram,28,5,2021,6300
Bangalore,Alasande Gram,27,5,2021,6300
Bangalore,Alasande Gram,24,5,2021,6300
Bangalore,Alasande Gram,21,5,2021,6300
Bangalore,Alasande Gram,20,5,2021,6300
