Market Name,Variety,Day,Month,Year,Modal Price (Rs./Quintal)
Bangalore,Other,15,6,2022,65000
Bangalore,Other,30,5,2022,67500
Bangalore,Other,27,5,2022,67500
Bangalore,Other,23,5,2022,67500
Bangalore,Other,21,5,2022,67500
Bangalore,Other,20,5,2022,67500
Bangalore,Other,16,5,2022,67500
Bangalore,Other,9,5,2022,67500
Bangalore,Other,31,3,2022,51000
Bangalore,Other,21,3,2022,52500
Bangalore,Other,16,3,2022,52500
Bangalore,Other,28,2,2022,56500
Bangalore,Other,24,2,2022,56500
Bangalore,Other,14,2,2022,52500
Bangalore,Other,7,2,2022,52500
Bangalore,Other,31,1,2022,52500
Bangalore,Other,27,1,2022,52500
Bangalore,Other,24,1,2022,52500
Bangalore,Other,21,1,2022,52500
Bangalore,Other,13,1,2022,52500
Bangalore,Other,29,12,2021,57500
Bangalore,Other,27,12,2021,57500
Bangalore,Other,20,12,2021,50000
Bangalore,Other,18,12,2021,50000
Bangalore,Other,15,12,2021,50000
Bangalore,Other,13,12,2021,50000
Bangalore,Other,10,12,2021,50000
Bangalore,Other,9,12,2021,46500
Bangalore,Other,6,12,2021,46500
Bangalore,Other,23,11,2021,46500
Bangalore,Other,20,11,2021,46500
Bangalore,Other,19,11,2021,46500
Bangalore,Other,15,11,2021,52500
Bangalore,Other,11,11,2021,52500
Bangalore,Other,8,11,2021,52500
Bangalore,Other,29,10,2021,52500
Bangalore,Other,28,10,2021,52500
Bangalore,Other,25,10,2021,52500
Bangalore,Other,16,10,2021,52500
Bangalore,Other,13,10,2021,52500
Bangalore,Other,7,10,2021,52500
Bangalore,Other,23,9,2021,51000
Bangalore,Other,22,9,2021,51000
Bangalore,Other,20,9,2021,51000
Bangalore,Other,18,9,2021,51000
Bangalore,Other,16,9,2021,51000
Bangalore,Other,15,9,2021,51000
Bangalore,Other,13,9,2021,51000
Bangalore,Other,9,9,2021,51000
Bangalore,Other,4,9,2021,51000
Bangalore,Other,30,8,2021,51000
Bangalore,Other,26,8,2021,51000
Bangalore,Other,18,8,2021,47500
Bangalore,Other,7,8,2021,45000
Bangalore,Other,26,7,2021,47500
Bangalore,Other,8,7,2021,47500
Bangalore,Other,3,7,2021,47500
Bangalore,Other,28,6,2021,47500
Bangalore,Other,9,6,2021,46500
Bangalore,Other,21,5,2021,46500
Bangalore,Other,19,4,2021,46500
Bangalore,Other,19,3,2021,44500
Bangalore,Other,10,3,2021,44500
Bangalore,Other,9,3,2021,44500
Bangalore,Other,25,2,2021,49000
Bangalore,Other,20,2,2021,49000
Bangalore,Other,19,2,2021,49000
Bangalore,Other,15,2,2021,49000
Bangalore,Other,12,2,2021,49000
Bangalore,Other,11,2,2021,49000
Bangalore,Other,10,2,2021,49000
Bangalore,Other,6,2,2021,49000
Bangalore,Other,3,2,2021,49000
Bangalore,Other,25,1,2021,46500
Bangalore,Other,22,1,2021,46500
Bangalore,Other,21,1,2021,46500
Bangalore,Other,20,1,2021,46500
Bangalore,Other,15,1,2021,57500
Bangalore,Other,2,1,2021,57500
Bangalore,Other,31,12,2020,47500
Bangalore,Other,28,12,2020,57500
Bangalore,Other,25,11,2020,47500
Bangalore,Other,18,11,2020,47500
Bangalore,Other,17,11,2020,52500
Bangalore,Other,9,11,2020,12000
Bangalore,Other,4,11,2020,57500
Bangalore,Other,27,10,2020,57500
Bangalore,Other,22,10,2020,57500
Bangalore,Other,21,10,2020,57500
Bangalore,Other,14,10,2020,57500
Bangalore,Other,16,9,2020,50000
Bangalore,Other,7,9,2020,50000
Bangalore,Other,19,8,2020,50000
Bangalore,Other,13,8,2020,47500
Bangalore,Other,15,7,2020,48500
Bangalore,Other,25,6,2020,48500
Bangalore,Other,22,6,2020,48500
