Market Name,Variety,Day,Month,Year,Modal Price (Rs./Quintal)
Bangalore,Arhar Dal(Tur),21,6,2022,9200
Bangalore,Arhar Dal(Tur),20,6,2022,9200
Bangalore,Arhar Dal(Tur),18,6,2022,9300
Bangalore,Arhar Dal(Tur),17,6,2022,9300
Bangalore,Arhar Dal(Tur),16,6,2022,9300
Bangalore,Arhar Dal(Tur),15,6,2022,9300
Bangalore,Arhar Dal(Tur),14,6,2022,9300
Bangalore,Arhar Dal(Tur),13,6,2022,9300
Bangalore,Arhar Dal(Tur),10,6,2022,9300
Bangalore,Arhar Dal(Tur),9,6,2022,9300
Bangalore,Arhar Dal(Tur),8,6,2022,9300
Bangalore,Arhar Dal(Tur),7,6,2022,9300
Bangalore,Arhar Dal(Tur),6,6,2022,9300
Bangalore,Arhar Dal(Tur),4,6,2022,9300
Bangalore,Arhar Dal(Tur),3,6,2022,9300
Bangalore,Arhar Dal(Tur),2,6,2022,9300
Bangalore,Arhar Dal(Tur),31,5,2022,9300
Bangalore,Arhar Dal(Tur),30,5,2022,9250
Bangalore,Arhar Dal(Tur),27,5,2022,9250
Bangalore,Arhar Dal(Tur),26,5,2022,9250
Bangalore,Arhar Dal(Tur),25,5,2022,9250
Bangalore,Arhar Dal(Tur),24,5,2022,9250
Bangalore,Arhar Dal(Tur),23,5,2022,9150
Bangalore,Arhar Dal(Tur),21,5,2022,9250
Bangalore,Arhar Dal(Tur),20,5,2022,9250
Bangalore,Arhar Dal(Tur),19,5,2022,9250
Bangalore,Arhar Dal(Tur),18,5,2022,9250
Bangalore,Arhar Dal(Tur),17,5,2022,9250
Bangalore,Arhar Dal(Tur),16,5,2022,9200
Bangalore,Arhar Dal(Tur),13,5,2022,9200
Bangalore,Arhar Dal(Tur),12,5,2022,9200
Bangalore,Arhar Dal(Tur),11,5,2022,9300
Bangalore,Arhar Dal(Tur),10,5,2022,9300
Bangalore,Arhar Dal(Tur),9,5,2022,9300
Bangalore,Arhar Dal(Tur),7,5,2022,9300
Bangalore,Arhar Dal(Tur),6,5,2022,9300
Bangalore,Arhar Dal(Tur),5,5,2022,9300
Bangalore,Arhar Dal(Tur),4,5,2022,9550
Bangalore,Arhar Dal(Tur),30,4,2022,9550
Bangalore,Arhar Dal(Tur),29,4,2022,9550
Bangalore,Arhar Dal(Tur),28,4,2022,9550
Bangalore,Arhar Dal(Tur),27,4,2022,9200
Bangalore,Arhar Dal(Tur),26,4,2022,9500
Bangalore,Arhar Dal(Tur),25,4,2022,9500
Bangalore,Arhar Dal(Tur),22,4,2022,9500
Bangalore,Arhar Dal(Tur),21,4,2022,9500
Bangalore,Arhar Dal(Tur),20,4,2022,9500
Bangalore,Arhar Dal(Tur),19,4,2022,9500
Bangalore,Arhar Dal(Tur),18,4,2022,9500
Bangalore,Arhar Dal(Tur),16,4,2022,9500
Bangalore,Arhar Dal(Tur),13,4,2022,9400
Bangalore,Arhar Dal(Tur),12,4,2022,9400
Bangalore,Arhar Dal(Tur),11,4,2022,9400
Bangalore,Arhar Dal(Tur),8,4,2022,9400
Bangalore,Arhar Dal(Tur),7,4,2022,9400
Bangalore,Arhar Dal(Tur),6,4,2022,9400
Bangalore,Arhar Dal(Tur),5,4,2022,9000
Bangalore,Arhar Dal(Tur),4,4,2022,9000
Bangalore,Arhar Dal(Tur),1,4,2022,9000
Bangalore,Arhar Dal(Tur),31,3,2022,9000
Bangalore,Arhar Dal(Tur),30,3,2022,9000
Bangalore,Arhar Dal(Tur),29,3,2022,9000
Bangalore,Arhar Dal(Tur),28,3,2022,9400
Bangalore,Arhar Dal(Tur),25,3,2022,9400
Bangalore,Arhar Dal(Tur),24,3,2022,9500
Bangalore,Arhar Dal(Tur),23,3,2022,9500
Bangalore,Arhar Dal(Tur),22,3,2022,9500
Bangalore,Arhar Dal(Tur),21,3,2022,9400
Bangalore,Arhar Dal(Tur),19,3,2022,9400
Bangalore,Arhar Dal(Tur),18,3,2022,9400
Bangalore,Arhar Dal(Tur),17,3,2022,9400
Bangalore,Arhar Dal(Tur),16,3,2022,9400
Bangalore,Arhar Dal(Tur),15,3,2022,9400
Bangalore,Arhar Dal(Tur),14,3,2022,9400
Bangalore,Arhar Dal(Tur),11,3,2022,9400
Bangalore,Arhar Dal(Tur),10,3,2022,9400
Bangalore,Arhar Dal(Tur),9,3,2022,9400
Bangalore,Arhar Dal(Tur),8,3,2022,9400
Bangalore,Arhar Dal(Tur),7,3,2022,9400
Bangalore,Arhar Dal(Tur),5,3,2022,9400
Bangalore,Arhar Dal(Tur),4,3,2022,9400
Bangalore,Arhar Dal(Tur),3,3,2022,9400
Bangalore,Arhar Dal(Tur),2,3,2022,9400
Bangalore,Arhar Dal(Tur),28,2,2022,9650
Bangalore,Arhar Dal(Tur),25,2,2022,9650
Bangalore,Arhar Dal(Tur),24,2,2022,9650
Bangalore,Arhar Dal(Tur),23,2,2022,9000
Bangalore,Arhar Dal(Tur),22,2,2022,9000
Bangalore,Arhar Dal(Tur),21,2,2022,9250
Bangalore,Arhar Dal(Tur),19,2,2022,9250
Bangalore,Arhar Dal(Tur),18,2,2022,9250
Bangalore,Arhar Dal(Tur),17,2,2022,9250
Bangalore,Arhar Dal(Tur),16,2,2022,9250
Bangalore,Arhar Dal(Tur),15,2,2022,9250
Bangalore,Arhar Dal(Tur),14,2,2022,9250
Bangalore,Arhar Dal(Tur),11,2,2022,9300
Bangalore,Arhar Dal(Tur),10,2,2022,9300
Bangalore,Arhar Dal(Tur),9,2,2022,9300
Bangalore,Arhar Dal(Tur),8,2,2022,9300
Bangalore,Arhar Dal(Tur),7,2,2022,9450
Bangalore,Arhar Dal(Tur),5,2,2022,9450
Bangalore,Arhar Dal(Tur),4,2,2022,9450
Bangalore,Arhar Dal(Tur),3,2,2022,9450
Bangalore,Arhar Dal(Tur),2,2,2022,9450
Bangalore,Arhar Dal(Tur),1,2,2022,9450
Bangalore,Arhar Dal(Tur),31,1,2022,9450
Bangalore,Arhar Dal(Tur),29,1,2022,9450
Bangalore,Arhar Dal(Tur),28,1,2022,9450
Bangalore,Arhar Dal(Tur),27,1,2022,9450
Bangalore,Arhar Dal(Tur),25,1,2022,9600
Bangalore,Arhar Dal(Tur),24,1,2022,9600
Bangalore,Arhar Dal(Tur),21,1,2022,9600
Bangalore,Arhar Dal(Tur),20,1,2022,9600
Bangalore,Arhar Dal(Tur),19,1,2022,9600
Bangalore,Arhar Dal(Tur),18,1,2022,9600
Bangalore,Arhar Dal(Tur),17,1,2022,9600
Bangalore,Arhar Dal(Tur),14,1,2022,9000
Bangalore,Arhar Dal(Tur),13,1,2022,9000
Bangalore,Arhar Dal(Tur),12,1,2022,9250
Bangalore,Arhar Dal(Tur),11,1,2022,9250
Bangalore,Arhar Dal(Tur),10,1,2022,9200
Bangalore,Arhar Dal(Tur),7,1,2022,9200
Bangalore,Arhar Dal(Tur),6,1,2022,9200
Bangalore,Arhar Dal(Tur),5,1,2022,9200
Bangalore,Arhar Dal(Tur),4,1,2022,9200
Bangalore,Arhar Dal(Tur),3,1,2022,9200
Bangalore,Arhar Dal(Tur),1,1,2022,9200
Bangalore,Arhar Dal(Tur),31,12,2021,9500
Bangalore,Arhar Dal(Tur),30,12,2021,9500
Bangalore,Arhar Dal(Tur),29,12,2021,9500
Bangalore,Arhar Dal(Tur),28,12,2021,9500
Bangalore,Arhar Dal(Tur),27,12,2021,9500
Bangalore,Arhar Dal(Tur),24,12,2021,9500
Bangalore,Arhar Dal(Tur),23,12,2021,9500
Bangalore,Arhar Dal(Tur),22,12,2021,9000
Bangalore,Arhar Dal(Tur),21,12,2021,9000
Bangalore,Arhar Dal(Tur),20,12,2021,9000
Bangalore,Arhar Dal(Tur),18,12,2021,9000
Bangalore,Arhar Dal(Tur),17,12,2021,9000
Bangalore,Arhar Dal(Tur),16,12,2021,9000
Bangalore,Arhar Dal(Tur),15,12,2021,9000
Bangalore,Arhar Dal(Tur),14,12,2021,9000
Bangalore,Arhar Dal(Tur),13,12,2021,9000
Bangalore,Arhar Dal(Tur),10,12,2021,9000
Bangalore,Arhar Dal(Tur),9,12,2021,9100
Bangalore,Arhar Dal(Tur),8,12,2021,9100
Bangalore,Arhar Dal(Tur),7,12,2021,9100
Bangalore,Arhar Dal(Tur),6,12,2021,9100
Bangalore,Arhar Dal(Tur),4,12,2021,9100
Bangalore,Arhar Dal(Tur),3,12,2021,9100
Bangalore,Arhar Dal(Tur),2,12,2021,9100
Bangalore,Arhar Dal(Tur),1,12,2021,9100
Bangalore,Arhar Dal(Tur),30,11,2021,9100
Bangalore,Arhar Dal(Tur),29,11,2021,9100
Bangalore,Arhar Dal(Tur),26,11,2021,9100
Bangalore,Arhar Dal(Tur),25,11,2021,9100
Bangalore,Arhar Dal(Tur),24,11,2021,9100
Bangalore,Arhar Dal(Tur),23,11,2021,9100
Bangalore,Arhar Dal(Tur),20,11,2021,9050
Bangalore,Arhar Dal(Tur),19,11,2021,9050
Bangalore,Arhar Dal(Tur),18,11,2021,9050
Bangalore,Arhar Dal(Tur),17,11,2021,9050
Bangalore,Arhar Dal(Tur),16,11,2021,9250
Bangalore,Arhar Dal(Tur),15,11,2021,9250
Bangalore,Arhar Dal(Tur),12,11,2021,9250
Bangalore,Arhar Dal(Tur),11,11,2021,9250
Bangalore,Arhar Dal(Tur),10,11,2021,9250
Bangalore,Arhar Dal(Tur),9,11,2021,9250
Bangalore,Arhar Dal(Tur),8,11,2021,9250
Bangalore,Arhar Dal(Tur),6,11,2021,9250
Bangalore,Arhar Dal(Tur),4,11,2021,9250
Bangalore,Arhar Dal(Tur),2,11,2021,9250
Bangalore,Arhar Dal(Tur),30,10,2021,9250
Bangalore,Arhar Dal(Tur),29,10,2021,9250
Bangalore,Arhar Dal(Tur),28,10,2021,9800
Bangalore,Arhar Dal(Tur),27,10,2021,9800
Bangalore,Arhar Dal(Tur),26,10,2021,9800
Bangalore,Arhar Dal(Tur),25,10,2021,9800
Bangalore,Arhar Dal(Tur),22,10,2021,9800
Bangalore,Arhar Dal(Tur),21,10,2021,9800
Bangalore,Arhar Dal(Tur),18,10,2021,9600
Bangalore,Arhar Dal(Tur),16,10,2021,9600
Bangalore,Arhar Dal(Tur),13,10,2021,9600
Bangalore,Arhar Dal(Tur),12,10,2021,9600
Bangalore,Arhar Dal(Tur),11,10,2021,9900
Bangalore,Arhar Dal(Tur),8,10,2021,9900
Bangalore,Arhar Dal(Tur),7,10,2021,9900
Bangalore,Arhar Dal(Tur),5,10,2021,9500
Bangalore,Arhar Dal(Tur),4,10,2021,9500
Bangalore,Arhar Dal(Tur),1,10,2021,9500
Bangalore,Arhar Dal(Tur),30,9,2021,9500
Bangalore,Arhar Dal(Tur),29,9,2021,9500
Bangalore,Arhar Dal(Tur),28,9,2021,9500
Bangalore,Arhar Dal(Tur),27,9,2021,9500
Bangalore,Arhar Dal(Tur),24,9,2021,9500
Bangalore,Arhar Dal(Tur),23,9,2021,9500
Bangalore,Arhar Dal(Tur),22,9,2021,9500
Bangalore,Arhar Dal(Tur),21,9,2021,9500
Bangalore,Arhar Dal(Tur),20,9,2021,9250
Bangalore,Arhar Dal(Tur),18,9,2021,9250
Bangalore,Arhar Dal(Tur),17,9,2021,9800
Bangalore,Arhar Dal(Tur),16,9,2021,9800
Bangalore,Arhar Dal(Tur),15,9,2021,9800
Bangalore,Arhar Dal(Tur),14,9,2021,9500
Bangalore,Arhar Dal(Tur),13,9,2021,9500
Bangalore,Arhar Dal(Tur),9,9,2021,9750
Bangalore,Arhar Dal(Tur),8,9,2021,9750
Bangalore,Arhar Dal(Tur),7,9,2021,9750
Bangalore,Arhar Dal(Tur),6,9,2021,9750
Bangalore,Arhar Dal(Tur),4,9,2021,9800
Bangalore,Arhar Dal(Tur),3,9,2021,9800
Bangalore,Arhar Dal(Tur),2,9,2021,9800
Bangalore,Arhar Dal(Tur),1,9,2021,9800
Bangalore,Arhar Dal(Tur),31,8,2021,9700
Bangalore,Arhar Dal(Tur),30,8,2021,9700
Bangalore,Arhar Dal(Tur),27,8,2021,9700
Bangalore,Arhar Dal(Tur),26,8,2021,9700
Bangalore,Arhar Dal(Tur),25,8,2021,9700
Bangalore,Arhar Dal(Tur),24,8,2021,9700
Bangalore,Arhar Dal(Tur),23,8,2021,9600
Bangalore,Arhar Dal(Tur),21,8,2021,9600
Bangalore,Arhar Dal(Tur),19,8,2021,9600
Bangalore,Arhar Dal(Tur),18,8,2021,9600
Bangalore,Arhar Dal(Tur),17,8,2021,9600
Bangalore,Arhar Dal(Tur),16,8,2021,9600
Bangalore,Arhar Dal(Tur),13,8,2021,9700
Bangalore,Arhar Dal(Tur),12,8,2021,9700
Bangalore,Arhar Dal(Tur),11,8,2021,9700
Bangalore,Arhar Dal(Tur),10,8,2021,9700
Bangalore,Arhar Dal(Tur),9,8,2021,9700
Bangalore,Arhar Dal(Tur),7,8,2021,9250
Bangalore,Arhar Dal(Tur),6,8,2021,9250
Bangalore,Arhar Dal(Tur),4,8,2021,9000
Bangalore,Arhar Dal(Tur),3,8,2021,9500
Bangalore,Arhar Dal(Tur),2,8,2021,9300
Bangalore,Arhar Dal(Tur),31,7,2021,9300
Bangalore,Arhar Dal(Tur),30,7,2021,9700
Bangalore,Arhar Dal(Tur),29,7,2021,9200
