Market Name,Variety,Day,Month,Year,Modal Price (Rs./Quintal)
Bangalore,Banana - Green,20,6,2022,3000
Bangalore,Banana - Green,18,6,2022,3000
Bangalore,Banana - Green,17,6,2022,3000
Bangalore,Banana - Green,16,6,2022,2900
Bangalore,Banana - Green,15,6,2022,3000
Bangalore,Banana - Green,14,6,2022,3100
Bangalore,Banana - Green,13,6,2022,3000
Bangalore,Banana - Green,10,6,2022,2900
Bangalore,Banana - Green,9,6,2022,2800
Bangalore,Banana - Green,8,6,2022,2900
Bangalore,Banana - Green,7,6,2022,2800
Bangalore,Banana - Green,4,6,2022,2900
Bangalore,Banana - Green,3,6,2022,2900
Bangalore,Banana - Green,2,6,2022,3000
Bangalore,Banana - Green,27,5,2022,2800
Bangalore,Banana - Green,26,5,2022,3000
Bangalore,Banana - Green,25,5,2022,2900
Bangalore,Banana - Green,24,5,2022,2900
Bangalore,Banana - Green,23,5,2022,3000
Bangalore,Banana - Green,20,5,2022,2800
Bangalore,Banana - Green,18,5,2022,2300
Bangalore,Banana - Green,16,5,2022,2100
Bangalore,Banana - Green,13,5,2022,1900
Bangalore,Banana - Green,12,5,2022,5800
Bangalore,Banana - Green,11,5,2022,1900
Bangalore,Banana - Green,10,5,2022,1900
Bangalore,Banana - Green,9,5,2022,1900
Bangalore,Banana - Green,7,5,2022,1900
Bangalore,Banana - Green,6,5,2022,1900
Bangalore,Banana - Green,5,5,2022,1800
Bangalore,Banana - Green,4,5,2022,1700
Bangalore,Banana - Green,30,4,2022,1800
Bangalore,Banana - Green,29,4,2022,1700
Bangalore,Banana - Green,27,4,2022,1800
Bangalore,Banana - Green,26,4,2022,2000
Bangalore,Banana - Green,25,4,2022,1900
Bangalore,Banana - Green,22,4,2022,1800
Bangalore,Banana - Green,21,4,2022,1800
Bangalore,Banana - Green,20,4,2022,1800
Bangalore,Banana - Green,19,4,2022,1600
Bangalore,Banana - Green,18,4,2022,1700
Bangalore,Banana - Green,16,4,2022,1500
Bangalore,Banana - Green,13,4,2022,1500
Bangalore,Banana - Green,12,4,2022,1400
Bangalore,Banana - Green,11,4,2022,1400
Bangalore,Banana - Green,8,4,2022,1500
Bangalore,Banana - Green,7,4,2022,1600
Bangalore,Banana - Green,6,4,2022,1600
Bangalore,Banana - Green,5,4,2022,1700
Bangalore,Banana - Green,4,4,2022,1600
Bangalore,Banana - Green,1,4,2022,1600
Bangalore,Banana - Green,31,3,2022,1600
Bangalore,Banana - Green,30,3,2022,1500
Bangalore,Banana - Green,29,3,2022,1700
Bangalore,Banana - Green,28,3,2022,1700
Bangalore,Banana - Green,25,3,2022,1900
Bangalore,Banana - Green,24,3,2022,1800
Bangalore,Banana - Green,23,3,2022,1700
Bangalore,Banana - Green,22,3,2022,1800
Bangalore,Banana - Green,21,3,2022,1700
Bangalore,Banana - Green,19,3,2022,1800
Bangalore,Banana - Green,18,3,2022,1900
Bangalore,Banana - Green,17,3,2022,1900
Bangalore,Banana - Green,16,3,2022,1800
Bangalore,Banana - Green,15,3,2022,1700
Bangalore,Banana - Green,14,3,2022,1700
Bangalore,Banana - Green,11,3,2022,1900
Bangalore,Banana - Green,10,3,2022,1900
Bangalore,Banana - Green,9,3,2022,1900
Bangalore,Banana - Green,8,3,2022,1900
Bangalore,Banana - Green,7,3,2022,1900
Bangalore,Banana - Green,5,3,2022,1900
Bangalore,Banana - Green,4,3,2022,1900
Bangalore,Banana - Green,3,3,2022,1900
Bangalore,Banana - Green,2,3,2022,1800
Bangalore,Banana - Green,28,2,2022,1600
Bangalore,Banana - Green,25,2,2022,1700
Bangalore,Banana - Green,24,2,2022,1800
Bangalore,Banana - Green,23,2,2022,1700
Bangalore,Banana - Green,22,2,2022,1800
Bangalore,Banana - Green,21,2,2022,1700
Bangalore,Banana - Green,19,2,2022,1600
Bangalore,Banana - Green,18,2,2022,1800
Bangalore,Banana - Green,17,2,2022,1800
Bangalore,Banana - Green,16,2,2022,1800
Bangalore,Banana - Green,15,2,2022,1600
Bangalore,Banana - Green,14,2,2022,1500
Bangalore,Banana - Green,11,2,2022,2600
Bangalore,Banana - Green,10,2,2022,2500
Bangalore,Banana - Green,9,2,2022,2500
Bangalore,Banana - Green,8,2,2022,2600
Bangalore,Banana - Green,7,2,2022,2700
Bangalore,Banana - Green,5,2,2022,2800
Bangalore,Banana - Green,4,2,2022,2900
Bangalore,Banana - Green,3,2,2022,2800
Bangalore,Banana - Green,2,2,2022,2700
Bangalore,Banana - Green,1,2,2022,2800
Bangalore,Banana - Green,31,1,2022,2900
Bangalore,Banana - Green,29,1,2022,3100
Bangalore,Banana - Green,28,1,2022,2800
Bangalore,Banana - Green,25,1,2022,3100
Bangalore,Banana - Green,24,1,2022,3000
Bangalore,Banana - Green,21,1,2022,3200
Bangalore,Banana - Green,20,1,2022,3300
Bangalore,Banana - Green,19,1,2022,3200
Bangalore,Banana - Green,18,1,2022,2500
Bangalore,Banana - Green,17,1,2022,2400
Bangalore,Banana - Green,14,1,2022,2600
Bangalore,Banana - Green,13,1,2022,2600
Bangalore,Banana - Green,12,1,2022,2700
Bangalore,Banana - Green,11,1,2022,2600
Bangalore,Banana - Green,10,1,2022,2600
Bangalore,Banana - Green,7,1,2022,2500
Bangalore,Banana - Green,6,1,2022,2800
Bangalore,Banana - Green,5,1,2022,2700
Bangalore,Banana - Green,4,1,2022,2600
Bangalore,Banana - Green,3,1,2022,2500
Bangalore,Banana - Green,1,1,2022,2600
Bangalore,Banana - Green,31,12,2021,2700
Bangalore,Banana - Green,30,12,2021,2700
Bangalore,Banana - Green,29,12,2021,2700
Bangalore,Banana - Green,28,12,2021,2800
Bangalore,Banana - Green,27,12,2021,2800
Bangalore,Banana - Green,24,12,2021,2600
Bangalore,Banana - Green,23,12,2021,2600
Bangalore,Banana - Green,22,12,2021,2600
Bangalore,Banana - Green,21,12,2021,2600
Bangalore,Banana - Green,20,12,2021,2600
Bangalore,Banana - Green,18,12,2021,2400
Bangalore,Banana - Green,17,12,2021,2400
Bangalore,Banana - Green,16,12,2021,2400
Bangalore,Banana - Green,15,12,2021,2400
Bangalore,Banana - Green,14,12,2021,2300
Bangalore,Banana - Green,13,12,2021,2400
Bangalore,Banana - Green,10,12,2021,2300
Bangalore,Banana - Green,9,12,2021,2400
Bangalore,Banana - Green,8,12,2021,2300
Bangalore,Banana - Green,7,12,2021,2300
Bangalore,Banana - Green,6,12,2021,2300
Bangalore,Banana - Green,4,12,2021,2400
Bangalore,Banana - Green,3,12,2021,2300
Bangalore,Banana - Green,2,12,2021,2500
Bangalore,Banana - Green,1,12,2021,2400
Bangalore,Banana - Green,30,11,2021,2500
Bangalore,Banana - Green,29,11,2021,2400
Bangalore,Banana - Green,25,11,2021,2400
Bangalore,Banana - Green,24,11,2021,2400
Bangalore,Banana - Green,23,11,2021,2500
Bangalore,Banana - Green,20,11,2021,2400
Bangalore,Banana - Green,19,11,2021,2300
Bangalore,Banana - Green,18,11,2021,2200
Bangalore,Banana - Green,17,11,2021,2100
Bangalore,Banana - Green,16,11,2021,2200
Bangalore,Banana - Green,15,11,2021,1100
Bangalore,Banana - Green,12,11,2021,2100
Bangalore,Banana - Green,11,11,2021,2100
Bangalore,Banana - Green,10,11,2021,2300
Bangalore,Banana - Green,9,11,2021,2400
Bangalore,Banana - Green,8,11,2021,2500
Bangalore,Banana - Green,6,11,2021,1700
Bangalore,Banana - Green,4,11,2021,2000
Bangalore,Banana - Green,30,10,2021,1700
Bangalore,Banana - Green,29,10,2021,1600
Bangalore,Banana - Green,28,10,2021,1600
Bangalore,Banana - Green,27,10,2021,1600
Bangalore,Banana - Green,26,10,2021,1500
Bangalore,Banana - Green,25,10,2021,1400
Bangalore,Banana - Green,22,10,2021,1400
Bangalore,Banana - Green,21,10,2021,1300
Bangalore,Banana - Green,16,10,2021,1200
Bangalore,Banana - Green,13,10,2021,1700
Bangalore,Banana - Green,12,10,2021,1800
Bangalore,Banana - Green,11,10,2021,1700
Bangalore,Banana - Green,8,10,2021,1800
Bangalore,Banana - Green,7,10,2021,1900
Bangalore,Banana - Green,5,10,2021,1800
Bangalore,Banana - Green,4,10,2021,1700
Bangalore,Banana - Green,1,10,2021,1800
Bangalore,Banana - Green,30,9,2021,1800
Bangalore,Banana - Green,29,9,2021,1800
Bangalore,Banana - Green,28,9,2021,1700
Bangalore,Banana - Green,27,9,2021,1800
Bangalore,Banana - Green,24,9,2021,1700
Bangalore,Banana - Green,23,9,2021,1700
Bangalore,Banana - Green,22,9,2021,1900
Bangalore,Banana - Green,21,9,2021,1700
Bangalore,Banana - Green,20,9,2021,1800
Bangalore,Banana - Green,18,9,2021,1800
Bangalore,Banana - Green,17,9,2021,1800
Bangalore,Banana - Green,16,9,2021,1800
Bangalore,Banana - Green,15,9,2021,1800
Bangalore,Banana - Green,14,9,2021,1800
Bangalore,Banana - Green,13,9,2021,1800
Bangalore,Banana - Green,8,9,2021,1700
Bangalore,Banana - Green,7,9,2021,1700
Bangalore,Banana - Green,6,9,2021,1700
Bangalore,Banana - Green,4,9,2021,1700
Bangalore,Banana - Green,3,9,2021,1600
Bangalore,Banana - Green,2,9,2021,1600
Bangalore,Banana - Green,1,9,2021,1700
Bangalore,Banana - Green,31,8,2021,1700
Bangalore,Banana - Green,30,8,2021,1700
Bangalore,Banana - Green,27,8,2021,1700
Bangalore,Banana - Green,26,8,2021,1700
Bangalore,Banana - Green,25,8,2021,1700
Bangalore,Banana - Green,24,8,2021,1600
Bangalore,Banana - Green,23,8,2021,1700
Bangalore,Banana - Green,21,8,2021,1700
Bangalore,Banana - Green,19,8,2021,1600
Bangalore,Banana - Green,18,8,2021,1700
Bangalore,Banana - Green,17,8,2021,1600
Bangalore,Banana - Green,16,8,2021,1700
Bangalore,Banana - Green,13,8,2021,1600
Bangalore,Banana - Green,12,8,2021,1700
Bangalore,Banana - Green,11,8,2021,1600
Bangalore,Banana - Green,10,8,2021,1700
Bangalore,Banana - Green,9,8,2021,1600
Bangalore,Banana - Green,7,8,2021,1600
Bangalore,Banana - Green,6,8,2021,1700
Bangalore,Banana - Green,4,8,2021,1600
Bangalore,Banana - Green,3,8,2021,1700
Bangalore,Banana - Green,2,8,2021,1700
Bangalore,Banana - Green,31,7,2021,1600
Bangalore,Banana - Green,30,7,2021,1700
Bangalore,Banana - Green,29,7,2021,1600
Bangalore,Banana - Green,28,7,2021,1700
Bangalore,Banana - Green,27,7,2021,1700
Bangalore,Banana - Green,26,7,2021,1600
Bangalore,Banana - Green,23,7,2021,1200
Bangalore,Banana - Green,22,7,2021,1300
Bangalore,Banana - Green,19,7,2021,2200
Bangalore,Banana - Green,17,7,2021,2000
Bangalore,Banana - Green,16,7,2021,2200
Bangalore,Banana - Green,15,7,2021,2200
Bangalore,Banana - Green,14,7,2021,2000
Bangalore,Banana - Green,13,7,2021,2200
Bangalore,Banana - Green,12,7,2021,2200
Bangalore,Banana - Green,9,7,2021,2000
Bangalore,Banana - Green,8,7,2021,2000
Bangalore,Banana - Green,7,7,2021,2000
Bangalore,Banana - Green,6,7,2021,2000
Bangalore,Banana - Green,5,7,2021,2200
Bangalore,Banana - Green,3,7,2021,2000
Bangalore,Banana - Green,2,7,2021,2000
Bangalore,Banana - Green,30,6,2021,2000
Bangalore,Banana - Green,29,6,2021,2000
Bangalore,Banana - Green,28,6,2021,2000
Bangalore,Banana - Green,25,6,2021,2200
Bangalore,Banana - Green,24,6,2021,2000
Bangalore,Banana - Green,23,6,2021,1600
Bangalore,Banana - Green,22,6,2021,2000
Bangalore,Banana - Green,21,6,2021,2000
Bangalore,Banana - Green,19,6,2021,2000
Bangalore,Banana - Green,18,6,2021,2000
Bangalore,Banana - Green,17,6,2021,2000
Bangalore,Banana - Green,16,6,2021,2000
Bangalore,Banana - Green,15,6,2021,2200
Bangalore,Banana - Green,14,6,2021,2000
Bangalore,Banana - Green,11,6,2021,1800
Bangalore,Banana - Green,10,6,2021,1600
Bangalore,Banana - Green,9,6,2021,1500
Bangalore,Banana - Green,8,6,2021,2700
Bangalore,Banana - Green,7,6,2021,2600
Bangalore,Banana - Green,5,6,2021,2500
Bangalore,Banana - Green,4,6,2021,2500
Bangalore,Banana - Green,3,6,2021,2600
Bangalore,Banana - Green,2,6,2021,2600
Bangalore,Banana - Green,1,6,2021,2800
Bangalore,Banana - Green,31,5,2021,2800
Bangalore,Banana - Green,29,5,2021,2600
Bangalore,Banana - Green,28,5,2021,2600
Bangalore,Banana - Green,27,5,2021,2500
Bangalore,Banana - Green,26,5,2021,2600
Bangalore,Banana - Green,25,5,2021,2500
Bangalore,Banana - Green,24,5,2021,2500
Bangalore,Banana - Green,21,5,2021,2400
Bangalore,Banana - Green,20,5,2021,2500
Bangalore,Banana - Green,19,5,2021,2500
Bangalore,Banana - Green,18,5,2021,2500
Bangalore,Banana - Green,17,5,2021,2500
Bangalore,Banana - Green,15,5,2021,2400
Bangalore,Banana - Green,13,5,2021,2400
Bangalore,Banana - Green,12,5,2021,2500
Bangalore,Banana - Green,11,5,2021,2400
Bangalore,Banana - Green,10,5,2021,2500
Bangalore,Banana - Green,7,5,2021,2400
Bangalore,Banana - Green,6,5,2021,2200
Bangalore,Banana - Green,5,5,2021,2000
Bangalore,Banana - Green,4,5,2021,2000
Bangalore,Banana - Green,3,5,2021,2000
Bangalore,Banana - Green,30,4,2021,2200
Bangalore,Banana - Green,29,4,2021,2500
Bangalore,Banana - Green,27,4,2021,2000
Bangalore,Banana - Green,26,4,2021,2600
Bangalore,Banana - Green,23,4,2021,1800
Bangalore,Banana - Green,22,4,2021,1700
Bangalore,Banana - Green,21,4,2021,1700
Bangalore,Banana - Green,20,4,2021,1700
Bangalore,Banana - Green,19,4,2021,1700
Bangalore,Banana - Green,17,4,2021,1800
Bangalore,Banana - Green,16,4,2021,1700
Bangalore,Banana - Green,15,4,2021,1700
Bangalore,Banana - Green,12,4,2021,1700
Bangalore,Banana - Green,9,4,2021,1600
Bangalore,Banana - Green,8,4,2021,1500
Bangalore,Banana - Green,7,4,2021,1600
Bangalore,Banana - Green,6,4,2021,1500
Bangalore,Banana - Green,5,4,2021,1500
Bangalore,Banana - Green,3,4,2021,1700
Bangalore,Banana - Green,1,4,2021,900
Bangalore,Banana - Green,31,3,2021,1300
Bangalore,Banana - Green,30,3,2021,950
Bangalore,Banana - Green,29,3,2021,1300
Bangalore,Banana - Green,26,3,2021,1100
Bangalore,Banana - Green,25,3,2021,1200
Bangalore,Banana - Green,24,3,2021,1100
Bangalore,Banana - Green,23,3,2021,1200
Bangalore,Banana - Green,22,3,2021,1100
Bangalore,Banana - Green,20,3,2021,1600
Bangalore,Banana - Green,19,3,2021,1700
Bangalore,Banana - Green,18,3,2021,1700
Bangalore,Banana - Green,17,3,2021,1800
Bangalore,Banana - Green,16,3,2021,1700
Bangalore,Banana - Green,15,3,2021,1700
Bangalore,Banana - Green,12,3,2021,1800
Bangalore,Banana - Green,10,3,2021,1100
Bangalore,Banana - Green,9,3,2021,1900
Bangalore,Banana - Green,8,3,2021,1300
Bangalore,Banana - Green,6,3,2021,1800
Bangalore,Banana - Green,5,3,2021,1800
Bangalore,Banana - Green,4,3,2021,1800
Bangalore,Banana - Green,3,3,2021,1800
Bangalore,Banana - Green,2,3,2021,1800
Bangalore,Banana - Green,1,3,2021,1900
Bangalore,Banana - Green,26,2,2021,1800
Bangalore,Banana - Green,25,2,2021,1900
Bangalore,Banana - Green,24,2,2021,1800
