Market Name,Variety,Day,Month,Year,Modal Price (Rs./Quintal)
Bangalore,Beans (Whole),20,6,2022,4500
Bangalore,Beans (Whole),18,6,2022,4500
Bangalore,Beans (Whole),17,6,2022,4500
Bangalore,Beans (Whole),16,6,2022,4300
Bangalore,Beans (Whole),15,6,2022,4500
Bangalore,Beans (Whole),14,6,2022,4600
Bangalore,Beans (Whole),13,6,2022,4600
Bangalore,Beans (Whole),10,6,2022,4500
Bangalore,Beans (Whole),9,6,2022,4400
Bangalore,Beans (Whole),8,6,2022,4300
Bangalore,Beans (Whole),7,6,2022,4400
Bangalore,Beans (Whole),4,6,2022,4400
Bangalore,Beans (Whole),3,6,2022,5800
Bangalore,Beans (Whole),2,6,2022,5800
Bangalore,Beans (Whole),27,5,2022,9300
Bangalore,Beans (Whole),26,5,2022,9300
Bangalore,Beans (Whole),25,5,2022,9300
Bangalore,Beans (Whole),24,5,2022,9500
Bangalore,Beans (Whole),23,5,2022,9600
Bangalore,Beans (Whole),20,5,2022,9300
Bangalore,Beans (Whole),18,5,2022,8800
Bangalore,Beans (Whole),16,5,2022,8000
Bangalore,Beans (Whole),13,5,2022,5800
Bangalore,Beans (Whole),12,5,2022,5800
Bangalore,Beans (Whole),11,5,2022,5800
Bangalore,Beans (Whole),10,5,2022,5800
Bangalore,Beans (Whole),9,5,2022,5800
Bangalore,Beans (Whole),7,5,2022,5800
Bangalore,Beans (Whole),6,5,2022,5200
Bangalore,Beans (Whole),5,5,2022,5300
Bangalore,Beans (Whole),4,5,2022,5200
Bangalore,Beans (Whole),30,4,2022,5200
Bangalore,Beans (Whole),29,4,2022,5200
Bangalore,Beans (Whole),27,4,2022,5300
Bangalore,Beans (Whole),26,4,2022,5300
Bangalore,Beans (Whole),25,4,2022,5300
Bangalore,Beans (Whole),22,4,2022,5300
Bangalore,Beans (Whole),21,4,2022,5400
Bangalore,Beans (Whole),20,4,2022,5500
Bangalore,Beans (Whole),19,4,2022,5600
Bangalore,Beans (Whole),18,4,2022,5500
Bangalore,Beans (Whole),16,4,2022,3900
Bangalore,Beans (Whole),13,4,2022,3900
Bangalore,Beans (Whole),12,4,2022,3800
Bangalore,Beans (Whole),11,4,2022,3800
Bangalore,Beans (Whole),8,4,2022,3900
Bangalore,Beans (Whole),7,4,2022,4000
Bangalore,Beans (Whole),6,4,2022,4000
Bangalore,Beans (Whole),5,4,2022,7500
Bangalore,Beans (Whole),4,4,2022,4000
Bangalore,Beans (Whole),1,4,2022,4100
Bangalore,Beans (Whole),31,3,2022,3900
Bangalore,Beans (Whole),30,3,2022,3900
Bangalore,Beans (Whole),29,3,2022,3800
Bangalore,Beans (Whole),28,3,2022,3800
Bangalore,Beans (Whole),25,3,2022,3800
Bangalore,Beans (Whole),24,3,2022,3800
Bangalore,Beans (Whole),23,3,2022,3700
Bangalore,Beans (Whole),22,3,2022,3700
Bangalore,Beans (Whole),21,3,2022,3600
Bangalore,Beans (Whole),19,3,2022,3700
Bangalore,Beans (Whole),18,3,2022,3700
Bangalore,Beans (Whole),17,3,2022,3800
Bangalore,Beans (Whole),16,3,2022,3800
Bangalore,Beans (Whole),15,3,2022,2800
Bangalore,Beans (Whole),14,3,2022,2900
Bangalore,Beans (Whole),11,3,2022,2100
Bangalore,Beans (Whole),10,3,2022,2100
Bangalore,Beans (Whole),9,3,2022,2200
Bangalore,Beans (Whole),8,3,2022,2300
Bangalore,Beans (Whole),7,3,2022,2300
Bangalore,Beans (Whole),5,3,2022,2400
Bangalore,Beans (Whole),4,3,2022,2300
Bangalore,Beans (Whole),3,3,2022,3800
Bangalore,Beans (Whole),2,3,2022,3800
Bangalore,Beans (Whole),28,2,2022,1900
Bangalore,Beans (Whole),25,2,2022,1600
Bangalore,Beans (Whole),24,2,2022,1700
Bangalore,Beans (Whole),23,2,2022,1600
Bangalore,Beans (Whole),22,2,2022,1700
Bangalore,Beans (Whole),21,2,2022,1700
Bangalore,Beans (Whole),19,2,2022,1600
Bangalore,Beans (Whole),18,2,2022,1500
Bangalore,Beans (Whole),17,2,2022,1700
Bangalore,Beans (Whole),16,2,2022,1900
Bangalore,Beans (Whole),15,2,2022,1800
Bangalore,Beans (Whole),14,2,2022,1400
Bangalore,Beans (Whole),11,2,2022,2700
Bangalore,Beans (Whole),10,2,2022,2600
Bangalore,Beans (Whole),9,2,2022,2500
Bangalore,Beans (Whole),8,2,2022,2700
Bangalore,Beans (Whole),7,2,2022,2600
Bangalore,Beans (Whole),5,2,2022,2700
Bangalore,Beans (Whole),4,2,2022,2800
Bangalore,Beans (Whole),3,2,2022,2800
Bangalore,Beans (Whole),2,2,2022,2700
Bangalore,Beans (Whole),1,2,2022,2800
Bangalore,Beans (Whole),31,1,2022,2800
Bangalore,Beans (Whole),29,1,2022,2800
Bangalore,Beans (Whole),28,1,2022,3000
Bangalore,Beans (Whole),25,1,2022,2900
Bangalore,Beans (Whole),24,1,2022,2700
Bangalore,Beans (Whole),21,1,2022,2900
Bangalore,Beans (Whole),20,1,2022,3000
Bangalore,Beans (Whole),19,1,2022,3200
Bangalore,Beans (Whole),18,1,2022,3200
Bangalore,Beans (Whole),17,1,2022,3100
Bangalore,Beans (Whole),14,1,2022,3100
Bangalore,Beans (Whole),13,1,2022,3100
Bangalore,Beans (Whole),12,1,2022,3200
Bangalore,Beans (Whole),11,1,2022,3200
Bangalore,Beans (Whole),10,1,2022,3100
Bangalore,Beans (Whole),7,1,2022,2900
Bangalore,Beans (Whole),6,1,2022,3200
Bangalore,Beans (Whole),5,1,2022,3200
Bangalore,Beans (Whole),4,1,2022,3100
Bangalore,Beans (Whole),3,1,2022,3000
Bangalore,Beans (Whole),1,1,2022,3500
Bangalore,Beans (Whole),31,12,2021,3600
Bangalore,Beans (Whole),30,12,2021,3700
Bangalore,Beans (Whole),29,12,2021,4200
Bangalore,Beans (Whole),28,12,2021,4300
Bangalore,Beans (Whole),27,12,2021,4200
Bangalore,Beans (Whole),24,12,2021,6200
Bangalore,Beans (Whole),23,12,2021,6200
Bangalore,Beans (Whole),22,12,2021,6200
Bangalore,Beans (Whole),21,12,2021,6300
Bangalore,Beans (Whole),20,12,2021,6200
Bangalore,Beans (Whole),18,12,2021,5500
Bangalore,Beans (Whole),17,12,2021,5700
Bangalore,Beans (Whole),16,12,2021,5700
Bangalore,Beans (Whole),15,12,2021,4800
Bangalore,Beans (Whole),14,12,2021,4700
Bangalore,Beans (Whole),13,12,2021,5100
Bangalore,Beans (Whole),10,12,2021,7700
Bangalore,Beans (Whole),9,12,2021,7800
Bangalore,Beans (Whole),8,12,2021,7700
Bangalore,Beans (Whole),7,12,2021,7800
Bangalore,Beans (Whole),6,12,2021,7700
Bangalore,Beans (Whole),4,12,2021,9000
Bangalore,Beans (Whole),3,12,2021,4600
Bangalore,Beans (Whole),2,12,2021,4800
Bangalore,Beans (Whole),1,12,2021,4700
Bangalore,Beans (Whole),30,11,2021,4800
Bangalore,Beans (Whole),29,11,2021,4700
Bangalore,Beans (Whole),26,11,2021,8000
Bangalore,Beans (Whole),25,11,2021,5600
Bangalore,Beans (Whole),24,11,2021,5500
Bangalore,Beans (Whole),23,11,2021,5500
Bangalore,Beans (Whole),20,11,2021,4000
Bangalore,Beans (Whole),19,11,2021,4000
Bangalore,Beans (Whole),18,11,2021,4000
Bangalore,Beans (Whole),17,11,2021,3700
Bangalore,Beans (Whole),16,11,2021,3300
Bangalore,Beans (Whole),15,11,2021,3200
Bangalore,Beans (Whole),12,11,2021,3200
Bangalore,Beans (Whole),11,11,2021,3200
Bangalore,Beans (Whole),10,11,2021,3200
Bangalore,Beans (Whole),9,11,2021,4200
Bangalore,Beans (Whole),8,11,2021,4000
Bangalore,Beans (Whole),6,11,2021,4200
Bangalore,Beans (Whole),4,11,2021,2800
Bangalore,Beans (Whole),30,10,2021,3900
Bangalore,Beans (Whole),29,10,2021,3800
Bangalore,Beans (Whole),28,10,2021,3800
Bangalore,Beans (Whole),27,10,2021,3800
Bangalore,Beans (Whole),26,10,2021,2700
Bangalore,Beans (Whole),25,10,2021,2600
Bangalore,Beans (Whole),22,10,2021,4400
Bangalore,Beans (Whole),21,10,2021,4300
Bangalore,Beans (Whole),16,10,2021,6200
Bangalore,Beans (Whole),13,10,2021,2600
Bangalore,Beans (Whole),12,10,2021,3000
Bangalore,Beans (Whole),11,10,2021,2500
Bangalore,Beans (Whole),8,10,2021,3500
Bangalore,Beans (Whole),7,10,2021,3600
Bangalore,Beans (Whole),5,10,2021,3500
Bangalore,Beans (Whole),4,10,2021,3000
Bangalore,Beans (Whole),1,10,2021,2000
Bangalore,Beans (Whole),30,9,2021,2000
Bangalore,Beans (Whole),29,9,2021,2000
Bangalore,Beans (Whole),28,9,2021,1900
Bangalore,Beans (Whole),27,9,2021,2300
Bangalore,Beans (Whole),24,9,2021,1800
Bangalore,Beans (Whole),23,9,2021,2000
Bangalore,Beans (Whole),22,9,2021,2800
Bangalore,Beans (Whole),21,9,2021,3400
Bangalore,Beans (Whole),20,9,2021,3200
Bangalore,Beans (Whole),18,9,2021,3600
Bangalore,Beans (Whole),17,9,2021,3600
Bangalore,Beans (Whole),16,9,2021,3600
Bangalore,Beans (Whole),15,9,2021,3600
Bangalore,Beans (Whole),14,9,2021,3700
Bangalore,Beans (Whole),13,9,2021,3600
Bangalore,Beans (Whole),8,9,2021,3400
Bangalore,Beans (Whole),7,9,2021,3400
Bangalore,Beans (Whole),6,9,2021,3400
Bangalore,Beans (Whole),4,9,2021,4700
Bangalore,Beans (Whole),3,9,2021,2100
Bangalore,Beans (Whole),2,9,2021,3000
Bangalore,Beans (Whole),1,9,2021,2000
Bangalore,Beans (Whole),31,8,2021,2000
Bangalore,Beans (Whole),30,8,2021,2100
Bangalore,Beans (Whole),27,8,2021,2000
Bangalore,Beans (Whole),26,8,2021,2300
Bangalore,Beans (Whole),25,8,2021,2000
Bangalore,Beans (Whole),24,8,2021,2000
Bangalore,Beans (Whole),23,8,2021,2000
Bangalore,Beans (Whole),21,8,2021,2000
Bangalore,Beans (Whole),19,8,2021,1900
Bangalore,Beans (Whole),18,8,2021,2000
Bangalore,Beans (Whole),17,8,2021,2100
Bangalore,Beans (Whole),16,8,2021,2100
Bangalore,Beans (Whole),13,8,2021,1800
Bangalore,Beans (Whole),12,8,2021,1900
Bangalore,Beans (Whole),11,8,2021,2200
Bangalore,Beans (Whole),10,8,2021,1800
Bangalore,Beans (Whole),9,8,2021,2200
Bangalore,Beans (Whole),7,8,2021,4500
Bangalore,Beans (Whole),6,8,2021,2600
Bangalore,Beans (Whole),4,8,2021,4500
Bangalore,Beans (Whole),3,8,2021,2600
Bangalore,Beans (Whole),2,8,2021,2400
Bangalore,Beans (Whole),31,7,2021,4500
Bangalore,Beans (Whole),30,7,2021,4400
Bangalore,Beans (Whole),29,7,2021,4300
Bangalore,Beans (Whole),28,7,2021,4400
Bangalore,Beans (Whole),27,7,2021,4600
Bangalore,Beans (Whole),26,7,2021,4500
Bangalore,Beans (Whole),23,7,2021,4500
Bangalore,Beans (Whole),22,7,2021,5500
Bangalore,Beans (Whole),20,7,2021,3000
Bangalore,Beans (Whole),19,7,2021,3500
Bangalore,Beans (Whole),17,7,2021,3500
Bangalore,Beans (Whole),16,7,2021,3500
Bangalore,Beans (Whole),15,7,2021,2400
Bangalore,Beans (Whole),14,7,2021,3500
Bangalore,Beans (Whole),13,7,2021,2200
Bangalore,Beans (Whole),12,7,2021,2500
Bangalore,Beans (Whole),9,7,2021,2500
Bangalore,Beans (Whole),8,7,2021,2500
Bangalore,Beans (Whole),7,7,2021,3000
Bangalore,Beans (Whole),6,7,2021,2500
Bangalore,Beans (Whole),5,7,2021,3100
Bangalore,Beans (Whole),3,7,2021,2500
Bangalore,Beans (Whole),2,7,2021,3500
Bangalore,Beans (Whole),30,6,2021,4500
Bangalore,Beans (Whole),29,6,2021,5500
Bangalore,Beans (Whole),28,6,2021,4500
Bangalore,Beans (Whole),25,6,2021,6500
Bangalore,Beans (Whole),24,6,2021,5500
Bangalore,Beans (Whole),23,6,2021,6200
Bangalore,Beans (Whole),22,6,2021,6500
Bangalore,Beans (Whole),21,6,2021,6500
Bangalore,Beans (Whole),19,6,2021,6200
Bangalore,Beans (Whole),18,6,2021,6500
Bangalore,Beans (Whole),17,6,2021,5000
Bangalore,Beans (Whole),16,6,2021,5500
Bangalore,Beans (Whole),15,6,2021,6500
Bangalore,Beans (Whole),14,6,2021,7000
Bangalore,Beans (Whole),11,6,2021,6000
Bangalore,Beans (Whole),10,6,2021,7000
Bangalore,Beans (Whole),9,6,2021,6500
Bangalore,Beans (Whole),8,6,2021,4500
Bangalore,Beans (Whole),7,6,2021,4500
