Market Name,Variety,Day,Month,Year,Modal Price (Rs./Quintal)
Bangalore,Other,2,6,2022,61000
Bangalore,Other,31,5,2022,58000
Bangalore,Other,13,5,2022,58500
Bangalore,Other,10,5,2022,58500
Bangalore,Other,18,2,2022,66000
Bangalore,Other,20,1,2022,67500
Bangalore,Other,4,1,2022,8500
Bangalore,Other,17,12,2021,64500
Bangalore,Other,6,12,2021,48500
Bangalore,Other,19,4,2021,44500
Bangalore,Other,19,3,2021,36000
Bangalore,Other,22,2,2021,38500
Bangalore,Other,11,2,2021,38000
Bangalore,Other,4,2,2021,38000
Bangalore,Other,28,12,2020,36500
Bangalore,Other,18,12,2020,36500
Bangalore,Other,6,11,2020,36500
Bangalore,Other,9,9,2020,32500
Bangalore,Other,8,9,2020,9500
Bangalore,Other,10,8,2020,35000
Bangalore,Other,23,7,2020,35000
Bangalore,Other,20,7,2020,35000
Bangalore,Other,23,6,2020,35000
Bangalore,Other,5,6,2020,35000
Bangalore,Other,28,4,2020,35500
Bangalore,Other,18,4,2020,35500
Bangalore,Other,8,4,2020,35500
Bangalore,Other,3,4,2020,35500
Bangalore,Other,9,3,2020,35500
Bangalore,Other,13,2,2020,35500
Bangalore,Other,18,1,2020,35500
Bangalore,Other,10,1,2020,35500
Bangalore,Other,24,12,2019,35500
Bangalore,Other,10,12,2019,35500
Bangalore,Other,30,11,2019,35500
Bangalore,Other,25,11,2019,35500
Bangalore,Other,11,9,2019,38000
Bangalore,Other,7,8,2019,38000
Bangalore,Other,20,7,2019,38000
Bangalore,Other,21,6,2019,38000
Bangalore,Other,11,6,2019,37000
Bangalore,Other,10,6,2019,37000
Bangalore,Other,3,6,2019,37000
Bangalore,Other,30,5,2019,37000
Bangalore,Other,20,4,2019,39500
Bangalore,Other,15,4,2019,39500
Bangalore,Other,8,4,2019,39500
Bangalore,Other,2,4,2019,39500
Bangalore,Other,1,4,2019,39500
Bangalore,Other,23,3,2019,39500
Bangalore,Other,2,3,2019,39500
Bangalore,Other,8,2,2019,40000
Bangalore,Other,9,1,2019,39500
Bangalore,Other,29,12,2018,39500
Bangalore,Other,28,12,2018,39500
Bangalore,Other,21,12,2018,39500
Bangalore,Other,10,12,2018,38000
Bangalore,Other,7,12,2018,38000
Bangalore,Other,6,12,2018,38000
Bangalore,Other,16,10,2018,38000
Bangalore,Other,28,9,2018,38000
Bangalore,Other,22,9,2018,38000
Bangalore,Other,27,8,2018,38000
Bangalore,Other,18,7,2018,38000
Bangalore,Other,30,6,2018,38000
Bangalore,Other,25,6,2018,38000
Bangalore,Other,7,5,2018,46500
Bangalore,Other,30,4,2018,46500
Bangalore,Other,28,4,2018,46500
Bangalore,Other,9,4,2018,46500
Bangalore,Other,6,4,2018,46500
Bangalore,Other,2,4,2018,46500
Bangalore,Other,28,3,2018,46500
Bangalore,Other,23,3,2018,46500
Bangalore,Other,1,2,2018,47500
Bangalore,Other,12,12,2017,47500
Bangalore,Other,12,9,2017,50000
Bangalore,Other,21,8,2017,51500
Bangalore,Other,18,8,2017,51500
Bangalore,Other,20,7,2017,51500
Bangalore,Other,10,7,2017,53000
Bangalore,Other,12,6,2017,57000
Bangalore,Other,15,5,2017,59000
Bangalore,Other,20,4,2017,62000
Bangalore,Other,10,2,2017,68250
Bangalore,Other,30,1,2017,69500
Bangalore,Other,13,1,2017,70000
Bangalore,Other,8,12,2016,69500
Bangalore,Other,5,12,2016,69500
Bangalore,Other,24,11,2016,69000
Bangalore,Other,8,11,2016,69000
Bangalore,Other,20,9,2016,70000
Bangalore,Other,25,7,2016,70000
Bangalore,Other,2,6,2016,68000
Bangalore,Other,25,5,2016,68000
Bangalore,Other,6,5,2016,66500
Bangalore,Other,5,4,2016,66500
Bangalore,Other,26,3,2016,66500
Bangalore,Other,26,2,2016,64000
Bangalore,Other,8,2,2016,62000
Bangalore,Other,20,1,2016,63000
Bangalore,Other,14,1,2016,63000
Bangalore,Other,26,12,2015,63000
Bangalore,Other,23,12,2015,63000
Bangalore,Other,16,12,2015,63000
Bangalore,Other,14,12,2015,63000
Bangalore,Other,2,12,2015,63000
Bangalore,Other,23,11,2015,63000
Bangalore,Other,13,11,2015,63000
Bangalore,Other,3,11,2015,63000
Bangalore,Other,21,10,2015,63000
Bangalore,Other,19,10,2015,63000
Bangalore,Other,15,10,2015,63000
Bangalore,Other,13,10,2015,63000
Bangalore,Other,9,10,2015,63000
Bangalore,Other,9,9,2015,53500
Bangalore,Other,29,8,2015,53500
Bangalore,Other,27,8,2015,56000
Bangalore,Other,19,8,2015,53500
Bangalore,Other,11,8,2015,57000
Bangalore,Other,10,8,2015,57000
Bangalore,Other,5,8,2015,57000
Bangalore,Other,4,8,2015,57000
Bangalore,Other,27,7,2015,65000
Bangalore,Other,25,7,2015,65000
Bangalore,Other,24,7,2015,65000
Bangalore,Other,14,7,2015,56000
Bangalore,Other,10,7,2015,56000
Bangalore,Other,7,7,2015,55000
Bangalore,Other,29,6,2015,55000
Bangalore,Other,22,6,2015,50000
Bangalore,Other,20,6,2015,50000
Bangalore,Other,16,6,2015,54000
Bangalore,Other,8,6,2015,53250
Bangalore,Other,30,5,2015,53250
Bangalore,Other,25,5,2015,53000
Bangalore,Other,18,5,2015,53000
Bangalore,Other,13,5,2015,54000
Bangalore,Other,12,5,2015,54000
Bangalore,Other,11,5,2015,53000
Bangalore,Other,8,5,2015,53000
Bangalore,Other,7,5,2015,53000
Bangalore,Other,2,5,2015,51000
Bangalore,Other,28,4,2015,53000
Bangalore,Other,22,4,2015,52000
Bangalore,Other,13,4,2015,60000
Bangalore,Other,8,4,2015,55500
Bangalore,Other,7,4,2015,55500
Bangalore,Other,4,4,2015,53000
Bangalore,Other,28,3,2015,57000
Bangalore,Other,23,3,2015,58000
Bangalore,Other,16,3,2015,58000
Bangalore,Other,7,3,2015,53000
Bangalore,Other,26,2,2015,57000
Bangalore,Other,21,2,2015,65000
Bangalore,Other,19,2,2015,65000
Bangalore,Other,18,2,2015,70500
Bangalore,Other,16,2,2015,70500
Bangalore,Other,13,2,2015,70500
Bangalore,Other,10,2,2015,65000
Bangalore,Other,6,2,2015,67500
Bangalore,Other,5,2,2015,67500
Bangalore,Other,3,2,2015,67500
Bangalore,Other,31,1,2015,74000
Bangalore,Other,24,1,2015,74000
Bangalore,Other,19,1,2015,74000
Bangalore,Other,12,1,2015,80000
Bangalore,Other,30,12,2014,77000
Bangalore,Other,26,12,2014,77000
Bangalore,Other,24,12,2014,77000
Bangalore,Other,23,12,2014,77000
Bangalore,Other,20,12,2014,72500
Bangalore,Other,16,12,2014,77000
Bangalore,Other,9,12,2014,72500
Bangalore,Other,2,12,2014,65000
Bangalore,Other,29,11,2014,65000
Bangalore,Other,22,11,2014,73000
Bangalore,Other,20,11,2014,73000
Bangalore,Other,18,11,2014,73000
Bangalore,Other,15,11,2014,75500
Bangalore,Other,10,11,2014,75500
Bangalore,Other,3,11,2014,75000
Bangalore,Other,30,10,2014,75000
Bangalore,Other,20,10,2014,72000
Bangalore,Other,17,10,2014,72000
Bangalore,Other,16,10,2014,72000
Bangalore,Other,14,10,2014,75000
Bangalore,Other,13,10,2014,70000
Bangalore,Other,18,8,2014,71000
Bangalore,Other,16,8,2014,71000
Bangalore,Other,13,8,2014,71000
Bangalore,Other,12,8,2014,71000
Bangalore,Other,11,8,2014,71000
Bangalore,Other,6,8,2014,71000
Bangalore,Other,5,8,2014,71000
Bangalore,Other,31,7,2014,71000
Bangalore,Other,26,7,2014,71000
Bangalore,Other,22,7,2014,74500
Bangalore,Other,21,7,2014,74500
Bangalore,Other,17,7,2014,74000
Bangalore,Other,15,7,2014,72000
Bangalore,Other,14,7,2014,72000
Bangalore,Other,10,7,2014,72000
Bangalore,Other,9,7,2014,72000
Bangalore,Other,4,7,2014,72000
Bangalore,Other,28,6,2014,72500
Bangalore,Other,26,6,2014,72500
Bangalore,Other,23,6,2014,72000
Bangalore,Other,16,6,2014,65000
Bangalore,Other,13,6,2014,65000
Bangalore,Other,11,6,2014,65250
Bangalore,Other,5,6,2014,65900
Bangalore,Other,31,5,2014,65900
Bangalore,Other,29,5,2014,65900
Bangalore,Other,24,5,2014,65900
Bangalore,Other,16,5,2014,65900
Bangalore,Other,15,5,2014,65900
Bangalore,Other,9,5,2014,65000
Bangalore,Other,8,5,2014,65000
Bangalore,Other,28,4,2014,67000
Bangalore,Other,22,4,2014,62000
Bangalore,Other,21,4,2014,58000
Bangalore,Other,8,4,2014,54000
Bangalore,Other,5,4,2014,48500
Bangalore,Other,1,4,2014,48500
Bangalore,Other,19,3,2014,48500
Bangalore,Other,15,3,2014,48500
Bangalore,Other,13,3,2014,55000
Bangalore,Other,7,3,2014,48000
Bangalore,Other,5,3,2014,48000
Bangalore,Other,1,3,2014,51000
Bangalore,Other,26,2,2014,48600
Bangalore,Other,17,2,2014,48600
Bangalore,Other,13,2,2014,48600
Bangalore,Other,10,2,2014,48600
Bangalore,Other,8,2,2014,48600
Bangalore,Other,30,1,2014,46000
Bangalore,Other,17,1,2014,46000
Bangalore,Other,13,1,2014,46000
Bangalore,Other,6,1,2014,46000
Bangalore,Other,29,7,2013,34000
Bangalore,Other,27,7,2013,34000
Bangalore,Other,3,7,2013,30200
Bangalore,Other,1,7,2013,30200
Bangalore,Other,20,6,2013,30200
Bangalore,Other,10,6,2013,30000
Bangalore,Other,5,6,2013,30000
Bangalore,Other,23,5,2013,30000
Bangalore,Other,3,5,2013,32500
Bangalore,Other,30,4,2013,32500
Bangalore,Other,24,4,2013,32000
Bangalore,Other,1,4,2013,28000
Bangalore,Other,25,3,2013,34000
Bangalore,Other,21,3,2013,31000
Bangalore,Other,6,3,2013,40000
Bangalore,Other,5,3,2013,40000
Bangalore,Other,18,2,2013,40000
Bangalore,Other,15,2,2013,40000
Bangalore,Other,19,1,2013,42000
Bangalore,Other,2,1,2013,42000
Bangalore,Other,17,12,2012,42000
Bangalore,Other,14,12,2012,43000
Bangalore,Other,4,12,2012,43000
Bangalore,Other,22,11,2012,43000
Bangalore,Other,6,11,2012,38000
Bangalore,Other,4,10,2012,32000
