Market Name,Variety,Day,Month,Year,Modal Price (Rs./Quintal)
Bangalore,Local,21,6,2022,2600
Bangalore,Potato,21,6,2022,2000
Bangalore,Local,20,6,2022,2600
Bangalore,Potato,20,6,2022,2000
Bangalore,Local,18,6,2022,2600
Bangalore,Potato,18,6,2022,1900
Bangalore,Local,17,6,2022,2600
Bangalore,Potato,17,6,2022,1900
Bangalore,Local,16,6,2022,2500
Bangalore,Potato,16,6,2022,1900
Bangalore,Local,15,6,2022,2500
Bangalore,Potato,15,6,2022,1900
Bangalore,Local,14,6,2022,2400
Bangalore,Potato,14,6,2022,2600
Bangalore,Local,13,6,2022,2400
Bangalore,Potato,13,6,2022,1800
Bangalore,Local,10,6,2022,2400
Bangalore,Potato,10,6,2022,1800
Bangalore,Local,9,6,2022,2400
Bangalore,Chips,9,6,2022,1800
Bangalore,Local,8,6,2022,2400
Bangalore,Potato,8,6,2022,1800
Bangalore,Local,7,6,2022,2400
Bangalore,Potato,7,6,2022,1800
Bangalore,Local,6,6,2022,2400
Bangalore,Potato,6,6,2022,1800
Bangalore,Local,4,6,2022,2400
Bangalore,Potato,4,6,2022,1800
Bangalore,Local,3,6,2022,2600
Bangalore,Potato,3,6,2022,1800
Bangalore,Local,2,6,2022,2200
Bangalore,Potato,2,6,2022,2000
Bangalore,Local,31,5,2022,2200
Bangalore,Potato,31,5,2022,2000
Bangalore,Local,30,5,2022,2200
Bangalore,Potato,30,5,2022,1800
Bangalore,Local,27,5,2022,1800
Bangalore,Potato,27,5,2022,1900
Bangalore,Local,26,5,2022,2200
Bangalore,Potato,26,5,2022,1800
Bangalore,Local,25,5,2022,2100
Bangalore,Potato,25,5,2022,1900
Bangalore,Local,24,5,2022,2300
Bangalore,Potato,24,5,2022,1900
Bangalore,Local,23,5,2022,2300
Bangalore,Potato,23,5,2022,1900
Bangalore,Local,21,5,2022,2300
Bangalore,Potato,21,5,2022,1800
Bangalore,Local,20,5,2022,2300
Bangalore,Potato,20,5,2022,1700
Bangalore,Local,19,5,2022,1900
Bangalore,Potato,19,5,2022,2100
Bangalore,Local,18,5,2022,2200
Bangalore,Potato,18,5,2022,1800
Bangalore,Local,17,5,2022,2200
Bangalore,Potato,17,5,2022,1800
Bangalore,Local,16,5,2022,2100
Bangalore,Potato,16,5,2022,2000
Bangalore,Local,13,5,2022,2100
Bangalore,Potato,13,5,2022,2100
Bangalore,Local,12,5,2022,1900
Bangalore,Potato,12,5,2022,1600
Bangalore,Local,11,5,2022,2100
Bangalore,Potato,11,5,2022,2100
Bangalore,Local,10,5,2022,2100
Bangalore,Potato,10,5,2022,1700
Bangalore,Local,9,5,2022,2200
Bangalore,Potato,9,5,2022,1700
Bangalore,Local,7,5,2022,2200
Bangalore,Potato,7,5,2022,1600
Bangalore,Local,6,5,2022,2200
Bangalore,Potato,6,5,2022,1600
Bangalore,Local,5,5,2022,2100
Bangalore,Potato,5,5,2022,1900
Bangalore,Local,4,5,2022,1900
Bangalore,Potato,4,5,2022,1700
Bangalore,Local,30,4,2022,1800
Bangalore,Potato,30,4,2022,2100
Bangalore,Local,29,4,2022,1400
Bangalore,Potato,29,4,2022,2200
Bangalore,Local,28,4,2022,1100
Bangalore,Potato,28,4,2022,1650
Bangalore,Local,27,4,2022,1100
Bangalore,Potato,27,4,2022,1500
Bangalore,Local,26,4,2022,1600
Bangalore,Potato,26,4,2022,1900
Bangalore,Local,25,4,2022,1900
Bangalore,Potato,25,4,2022,1700
Bangalore,Local,22,4,2022,1900
Bangalore,Potato,22,4,2022,1700
Bangalore,Local,21,4,2022,1900
Bangalore,Potato,21,4,2022,1700
Bangalore,Local,20,4,2022,1900
Bangalore,Potato,20,4,2022,1700
Bangalore,Local,19,4,2022,1900
Bangalore,Potato,19,4,2022,1700
Bangalore,Local,18,4,2022,1850
Bangalore,Potato,18,4,2022,1600
Bangalore,Local,16,4,2022,1400
Bangalore,Potato,16,4,2022,1600
Bangalore,Local,13,4,2022,1400
Bangalore,Potato,13,4,2022,1600
Bangalore,Local,12,4,2022,1500
Bangalore,Potato,12,4,2022,2100
Bangalore,Local,11,4,2022,1500
Bangalore,Potato,11,4,2022,2100
Bangalore,Local,8,4,2022,1400
Bangalore,Potato,8,4,2022,1350
Bangalore,Local,7,4,2022,1500
Bangalore,Potato,7,4,2022,1300
Bangalore,Local,6,4,2022,1600
Bangalore,Potato,6,4,2022,1300
Bangalore,Local,5,4,2022,1650
Bangalore,Potato,5,4,2022,1200
Bangalore,Local,4,4,2022,1700
Bangalore,Potato,4,4,2022,1300
Bangalore,Local,1,4,2022,1700
Bangalore,Potato,1,4,2022,1300
Bangalore,Local,31,3,2022,1500
Bangalore,Potato,31,3,2022,1300
Bangalore,Local,30,3,2022,1500
Bangalore,Potato,30,3,2022,1350
Bangalore,Local,29,3,2022,1600
Bangalore,Potato,29,3,2022,1250
Bangalore,Local,28,3,2022,1600
Bangalore,Potato,28,3,2022,1250
Bangalore,Local,25,3,2022,1950
Bangalore,Potato,25,3,2022,1550
Bangalore,Local,24,3,2022,1950
Bangalore,Potato,24,3,2022,1550
Bangalore,Local,23,3,2022,1800
Bangalore,Potato,23,3,2022,1600
Bangalore,Local,22,3,2022,1700
Bangalore,Potato,22,3,2022,1600
Bangalore,Local,21,3,2022,1700
Bangalore,Chips,21,3,2022,1700
Bangalore,Local,19,3,2022,1500
Bangalore,Potato,19,3,2022,1300
Bangalore,Local,18,3,2022,1500
Bangalore,Potato,18,3,2022,1300
Bangalore,Local,17,3,2022,1600
Bangalore,Potato,17,3,2022,1300
Bangalore,Local,16,3,2022,1600
Bangalore,Potato,16,3,2022,1300
Bangalore,Local,15,3,2022,1600
Bangalore,Potato,15,3,2022,1300
Bangalore,Local,14,3,2022,1600
Bangalore,Potato,14,3,2022,1450
Bangalore,Local,11,3,2022,1500
Bangalore,Potato,11,3,2022,1450
Bangalore,Local,10,3,2022,1500
Bangalore,Potato,10,3,2022,1450
Bangalore,Local,9,3,2022,1500
Bangalore,Potato,9,3,2022,1500
Bangalore,Local,8,3,2022,1950
Bangalore,Potato,8,3,2022,1500
Bangalore,Local,7,3,2022,1950
Bangalore,Potato,7,3,2022,1500
Bangalore,Local,5,3,2022,1950
Bangalore,Potato,5,3,2022,1950
Bangalore,Local,4,3,2022,1700
Bangalore,Potato,4,3,2022,2200
Bangalore,Local,3,3,2022,1650
Bangalore,Potato,3,3,2022,1600
Bangalore,Local,2,3,2022,1500
Bangalore,Potato,2,3,2022,1300
Bangalore,Local,28,2,2022,1600
Bangalore,Potato,28,2,2022,1300
Bangalore,Local,25,2,2022,1700
Bangalore,Potato,25,2,2022,1350
Bangalore,Local,24,2,2022,1700
Bangalore,Potato,24,2,2022,1350
Bangalore,Local,23,2,2022,1650
Bangalore,Potato,23,2,2022,1300
Bangalore,Local,22,2,2022,1800
Bangalore,Potato,22,2,2022,1300
Bangalore,Local,21,2,2022,1700
Bangalore,Potato,21,2,2022,1300
Bangalore,Local,19,2,2022,1700
Bangalore,Potato,19,2,2022,1300
Bangalore,Local,18,2,2022,1700
Bangalore,Potato,18,2,2022,1300
Bangalore,Local,17,2,2022,1500
Bangalore,Potato,17,2,2022,1200
Bangalore,Local,16,2,2022,1650
Bangalore,Potato,16,2,2022,1350
Bangalore,Local,15,2,2022,1650
Bangalore,Potato,15,2,2022,1350
Bangalore,Local,14,2,2022,1700
Bangalore,Potato,14,2,2022,1600
Bangalore,Local,11,2,2022,1650
Bangalore,Potato,11,2,2022,1600
Bangalore,Local,10,2,2022,1650
Bangalore,Potato,10,2,2022,1600
Bangalore,Local,9,2,2022,1800
Bangalore,Potato,9,2,2022,1700
Bangalore,Local,8,2,2022,1650
Bangalore,Potato,8,2,2022,1800
Bangalore,Local,7,2,2022,1500
Bangalore,Potato,7,2,2022,1300
Bangalore,Local,5,2,2022,1500
Bangalore,Potato,5,2,2022,1200
Bangalore,Local,4,2,2022,1500
Bangalore,Potato,4,2,2022,1200
Bangalore,Local,3,2,2022,1500
Bangalore,Potato,3,2,2022,1300
Bangalore,Local,2,2,2022,1700
Bangalore,Potato,2,2,2022,1150
Bangalore,Local,1,2,2022,1700
Bangalore,Potato,1,2,2022,1150
Bangalore,Local,31,1,2022,1700
Bangalore,Potato,31,1,2022,1350
Bangalore,Local,29,1,2022,1750
Bangalore,Potato,29,1,2022,1300
Bangalore,Local,28,1,2022,1750
Bangalore,Potato,28,1,2022,1300
Bangalore,Local,27,1,2022,1600
Bangalore,Potato,27,1,2022,1400
Bangalore,Local,25,1,2022,1750
Bangalore,Potato,25,1,2022,1200
Bangalore,Local,24,1,2022,2200
Bangalore,Potato,24,1,2022,1400
Bangalore,Local,21,1,2022,2200
Bangalore,Potato,21,1,2022,1400
Bangalore,Local,20,1,2022,2200
Bangalore,Potato,20,1,2022,1400
Bangalore,Local,19,1,2022,2200
Bangalore,Potato,19,1,2022,1400
Bangalore,Local,18,1,2022,2000
Bangalore,Potato,18,1,2022,1500
Bangalore,Local,17,1,2022,2000
Bangalore,Potato,17,1,2022,1500
Bangalore,Local,14,1,2022,2100
Bangalore,Potato,14,1,2022,1500
Bangalore,Local,13,1,2022,2000
Bangalore,Potato,13,1,2022,1250
Bangalore,Local,12,1,2022,2250
Bangalore,Potato,12,1,2022,1400
Bangalore,Local,11,1,2022,2250
Bangalore,Potato,11,1,2022,1250
Bangalore,Local,10,1,2022,2250
Bangalore,Potato,10,1,2022,1200
Bangalore,Local,7,1,2022,2250
Bangalore,Potato,7,1,2022,1700
Bangalore,Local,6,1,2022,2250
Bangalore,Potato,6,1,2022,1700
Bangalore,Local,5,1,2022,2250
Bangalore,Potato,5,1,2022,1400
Bangalore,Local,4,1,2022,2250
Bangalore,Potato,4,1,2022,1400
Bangalore,Local,3,1,2022,2250
Bangalore,Potato,3,1,2022,1400
Bangalore,Local,1,1,2022,1750
Bangalore,Potato,1,1,2022,1650
Bangalore,Local,31,12,2021,1750
Bangalore,Potato,31,12,2021,1400
Bangalore,Local,30,12,2021,1750
Bangalore,Potato,30,12,2021,1400
Bangalore,Local,29,12,2021,1800
Bangalore,Potato,29,12,2021,1250
Bangalore,Local,28,12,2021,1750
Bangalore,Potato,28,12,2021,1400
Bangalore,Local,27,12,2021,1750
Bangalore,Potato,27,12,2021,1400
Bangalore,Local,24,12,2021,1500
Bangalore,Potato,24,12,2021,1450
Bangalore,Local,23,12,2021,1500
Bangalore,Potato,23,12,2021,1450
Bangalore,Local,22,12,2021,2000
Bangalore,Potato,22,12,2021,1450
Bangalore,Local,21,12,2021,1800
Bangalore,Potato,21,12,2021,1500
Bangalore,Local,20,12,2021,1800
Bangalore,Potato,20,12,2021,1500
Bangalore,Local,18,12,2021,1800
Bangalore,Potato,18,12,2021,1500
Bangalore,Local,17,12,2021,1600
